
########################################################################################################################################

Country,Year,Calidad regulatoria: estimación,Efectividad del gobierno: estimación,"PIB, PPA (dólares internacionales constantes de 2021)",Población urbana (% de la población total),"PIB, PPA (dólares internacionales constantes de 2021)_log",Población urbana (% de la población total)_minmax,Efectividad del gobierno: estimación_std,Calidad regulatoria: estimación_std
Reino Unido,2020,1.47402393817902,1.33215415477753,3147041335739.51,83.903,12.497902447319357,0.83903,0.7252095132214962,0.8990931270179466
Reino Unido,2021,1.45237493515015,1.23967301845551,3416930055648.07,84.152,12.533636088908056,0.84152,0.641851496424388,0.8787756278263404
Reino Unido,2022,1.5665100812912,1.23809003829956,3582278210459.24,84.398,12.554159311433656,0.84398,0.6404246747861926,0.9858909871970333
Sierra Leona,2020,-0.904623210430145,-1.06328344345093,21775095775.6546,42.923,10.337960073906158,0.42923,-1.4339219106644403,-1.333257316766229
Sierra Leona,2021,-0.980271220207214,-1.15254700183868,23059141099.8544,43.372,10.362843126804894,0.43372,-1.5143797585605419,-1.4042526589278324


##########################################################################################################################################

Observa la estructura de los datos que están arriba. Quiero que crees una app en Streamlit que tenga los siguientes requerimientos:


1) El usuario pueda elegir el indicador que va en el eje Y

2) El usuario pueda elegir los países que van a ir incluidos en el gráfico (selección múltiple habilitada)

3) Los gráficos deben diseñarse en Plotly

4) Los gráficos no deberían tener grid y el fondo debe ser blanco

5) El titulo del gráfico debería ser (Evolutivo de (nombre del indicador escogido)





